workflow,input_id,control_type,label,semantic_role,detailed_explanation,check_before_running,common_mistake,output_connection,reviewer_note
Application,parameter_dictionary_download,downloadButton,Download parameter dictionary CSV,input data / auxiliary file,Download parameter dictionary CSV is an auxiliary input for Application. It must use the same site/species identifiers as the primary response and predictor files.,"Check dimensions, IDs, missing values, factor/numeric coercion and whether rows/columns match the response data before fitting.","Common mistake: uploading a table with an accidental ID column, mismatched row order or all-character numeric columns.",Copied to inputs/ and data/; summarized in diagnostics/data_check_messages.csv and standard/output_manifest.csv.,"Application: record the setting when it affects fitting, output or interpretation."
Compare Models,compare_boral_dir,textInput,boral output folder path,diagnostics / prediction / output selection,"boral output folder path decides which fit, prediction, diagnostic or plotting artifacts are written. These outputs support review only when status files and standard tables are also present.","Check that the requested outputs are compatible with fitted status, response scale and available package functions.",Common mistake: comparing metrics produced on different response scales or validation folds.,"Controls diagnostics/, plots/, predictions/, results/, report/ and standard/*.csv artifacts.","Comparison-specific: compare only fitted, scale-compatible outputs; failed runs are diagnostic artifacts."
Compare Models,compare_download,downloadButton,Download comparison CSV,input data / auxiliary file,Download comparison CSV is an auxiliary input for Compare Models. It must use the same site/species identifiers as the primary response and predictor files.,"Check dimensions, IDs, missing values, factor/numeric coercion and whether rows/columns match the response data before fitting.","Common mistake: uploading a table with an accidental ID column, mismatched row order or all-character numeric columns.",Copied to inputs/ and data/; summarized in diagnostics/data_check_messages.csv and standard/output_manifest.csv.,"Comparison-specific: compare only fitted, scale-compatible outputs; failed runs are diagnostic artifacts."
Compare Models,compare_engines,checkboxGroupInput,Engines to compare,general workflow setting,Engines to compare modifies Compare Models workflow behaviour. Record it because GUI choices should be recoverable from used_config.yml and reproducible scripts.,Check that this setting is recorded in used_config.yml and that its meaning is documented in the report.,Common mistake: changing this setting without preserving it in the reproducible configuration.,Recorded in configuration and shown in reports when relevant.,"Comparison-specific: compare only fitted, scale-compatible outputs; failed runs are diagnostic artifacts."
Compare Models,compare_gjam_dir,textInput,GJAM output folder path,diagnostics / prediction / output selection,"GJAM output folder path decides which fit, prediction, diagnostic or plotting artifacts are written. These outputs support review only when status files and standard tables are also present.","Check that the requested outputs are compatible with fitted status, response scale and available package functions.",Common mistake: comparing metrics produced on different response scales or validation folds.,"Controls diagnostics/, plots/, predictions/, results/, report/ and standard/*.csv artifacts.","Comparison-specific: compare only fitted, scale-compatible outputs; failed runs are diagnostic artifacts."
Compare Models,compare_hmsc_dir,textInput,Hmsc output folder path,diagnostics / prediction / output selection,"Hmsc output folder path decides which fit, prediction, diagnostic or plotting artifacts are written. These outputs support review only when status files and standard tables are also present.","Check that the requested outputs are compatible with fitted status, response scale and available package functions.",Common mistake: comparing metrics produced on different response scales or validation folds.,"Controls diagnostics/, plots/, predictions/, results/, report/ and standard/*.csv artifacts.","Comparison-specific: compare only fitted, scale-compatible outputs; failed runs are diagnostic artifacts."
Compare Models,compare_hmschpc_dir,textInput,Hmsc-HPC output folder path,diagnostics / prediction / output selection,"Hmsc-HPC output folder path decides which fit, prediction, diagnostic or plotting artifacts are written. These outputs support review only when status files and standard tables are also present.","Check that the requested outputs are compatible with fitted status, response scale and available package functions.",Common mistake: comparing metrics produced on different response scales or validation folds.,"Controls diagnostics/, plots/, predictions/, results/, report/ and standard/*.csv artifacts.","Comparison-specific: compare only fitted, scale-compatible outputs; failed runs are diagnostic artifacts."
Compare Models,compare_jsdm_dir,textInput,jSDM output folder path,diagnostics / prediction / output selection,"jSDM output folder path decides which fit, prediction, diagnostic or plotting artifacts are written. These outputs support review only when status files and standard tables are also present.","Check that the requested outputs are compatible with fitted status, response scale and available package functions.",Common mistake: comparing metrics produced on different response scales or validation folds.,"Controls diagnostics/, plots/, predictions/, results/, report/ and standard/*.csv artifacts.","Comparison-specific: compare only fitted, scale-compatible outputs; failed runs are diagnostic artifacts."
Compare Models,compare_run,actionButton,Create comparison summary,workflow action / reproducibility output,"Create comparison summary triggers checking, fitting, comparison or export. It should leave a clear status, diagnostics and real downloadable files rather than silent or empty placeholders.","Check that the action writes engine_status.json, standard tables, reports, scripts and a non-empty ZIP when applicable.","Common mistake: accepting Completed, empty ZIP or missing diagnostics as a successful run.","Controls workflow status, output folder creation, downloadable ZIPs and reports.","Comparison-specific: compare only fitted, scale-compatible outputs; failed runs are diagnostic artifacts."
Compare Models,compare_sjsdm_dir,textInput,sjSDM output folder path,diagnostics / prediction / output selection,"sjSDM output folder path decides which fit, prediction, diagnostic or plotting artifacts are written. These outputs support review only when status files and standard tables are also present.","Check that the requested outputs are compatible with fitted status, response scale and available package functions.",Common mistake: comparing metrics produced on different response scales or validation folds.,"Controls diagnostics/, plots/, predictions/, results/, report/ and standard/*.csv artifacts.","Comparison-specific: compare only fitted, scale-compatible outputs; failed runs are diagnostic artifacts."
Compare Models,compare_spocc_dir,textInput,spOccupancy output folder path,diagnostics / prediction / output selection,"spOccupancy output folder path decides which fit, prediction, diagnostic or plotting artifacts are written. These outputs support review only when status files and standard tables are also present.","Check that the requested outputs are compatible with fitted status, response scale and available package functions.",Common mistake: comparing metrics produced on different response scales or validation folds.,"Controls diagnostics/, plots/, predictions/, results/, report/ and standard/*.csv artifacts.","Comparison-specific: compare only fitted, scale-compatible outputs; failed runs are diagnostic artifacts."
GJAM,gjam_CCgroups,textAreaInput,CCgroups,general workflow setting,CCgroups modifies GJAM workflow behaviour. Record it because GUI choices should be recoverable from used_config.yml and reproducible scripts.,Check that this setting is recorded in used_config.yml and that its meaning is documented in the report.,Common mistake: changing this setting without preserving it in the reproducible configuration.,Recorded in configuration and shown in reports when relevant.,"GJAM: record the setting when it affects fitting, output or interpretation."
GJAM,gjam_FCgroups,textAreaInput,FCgroups,general workflow setting,FCgroups modifies GJAM workflow behaviour. Record it because GUI choices should be recoverable from used_config.yml and reproducible scripts.,Check that this setting is recorded in used_config.yml and that its meaning is documented in the report.,Common mistake: changing this setting without preserving it in the reproducible configuration.,Recorded in configuration and shown in reports when relevant.,"GJAM: record the setting when it affects fitting, output or interpretation."
GJAM,gjam_FULL,checkboxInput,FULL,general workflow setting,FULL modifies GJAM workflow behaviour. Record it because GUI choices should be recoverable from used_config.yml and reproducible scripts.,Check that this setting is recorded in used_config.yml and that its meaning is documented in the report.,Common mistake: changing this setting without preserving it in the reproducible configuration.,Recorded in configuration and shown in reports when relevant.,"GJAM: record the setting when it affects fitting, output or interpretation."
GJAM,gjam_PREDICTX,checkboxInput,PREDICTX,general workflow setting,PREDICTX modifies GJAM workflow behaviour. Record it because GUI choices should be recoverable from used_config.yml and reproducible scripts.,Check that this setting is recorded in used_config.yml and that its meaning is documented in the report.,Common mistake: changing this setting without preserving it in the reproducible configuration.,Recorded in configuration and shown in reports when relevant.,"GJAM: record the setting when it affects fitting, output or interpretation."
GJAM,gjam_REDUCT,checkboxInput,REDUCT,general workflow setting,REDUCT modifies GJAM workflow behaviour. Record it because GUI choices should be recoverable from used_config.yml and reproducible scripts.,Check that this setting is recorded in used_config.yml and that its meaning is documented in the report.,Common mistake: changing this setting without preserving it in the reproducible configuration.,Recorded in configuration and shown in reports when relevant.,"GJAM: record the setting when it affects fitting, output or interpretation."
GJAM,gjam_USE_CENSOR,checkboxInput,Use censor list,general workflow setting,Use censor list modifies GJAM workflow behaviour. Record it because GUI choices should be recoverable from used_config.yml and reproducible scripts.,Check that this setting is recorded in used_config.yml and that its meaning is documented in the report.,Common mistake: changing this setting without preserving it in the reproducible configuration.,Recorded in configuration and shown in reports when relevant.,"GJAM: record the setting when it affects fitting, output or interpretation."
GJAM,gjam_USE_EFFORT,checkboxInput,Use effort,general workflow setting,Use effort modifies GJAM workflow behaviour. Record it because GUI choices should be recoverable from used_config.yml and reproducible scripts.,Check that this setting is recorded in used_config.yml and that its meaning is documented in the report.,Common mistake: changing this setting without preserving it in the reproducible configuration.,Recorded in configuration and shown in reports when relevant.,"GJAM: record the setting when it affects fitting, output or interpretation."
GJAM,gjam_X_file,fileInput,XData.csv  - GJAM predictors / xdata,input data / environmental predictors,"XData.csv  - GJAM predictors / xdata supplies site-level covariates. Rows must align with the response data, numeric-looking columns should be numeric, and intended categorical predictors should be handled as factors.","Check dimensions, IDs, missing values, factor/numeric coercion and whether rows/columns match the response data before fitting.","Common mistake: uploading a table with an accidental ID column, mismatched row order or all-character numeric columns.",Copied to inputs/ and data/; summarized in diagnostics/data_check_messages.csv and standard/output_manifest.csv.,"GJAM: record the setting when it affects fitting, output or interpretation."
GJAM,gjam_Y_file,fileInput,Y.csv  - GJAM response matrix / ydata,input data / response matrix,Y.csv  - GJAM response matrix / ydata defines the observed ecological response for GJAM. Rows should be sampling units and columns should be species/responses unless the workflow explicitly uses long or detection-array input.,"Check dimensions, IDs, missing values, factor/numeric coercion and whether rows/columns match the response data before fitting.","Common mistake: uploading a table with an accidental ID column, mismatched row order or all-character numeric columns.",Copied to inputs/ and data/; summarized in diagnostics/data_check_messages.csv and standard/output_manifest.csv.,"GJAM: record the setting when it affects fitting, output or interpretation."
GJAM,gjam_burnin,synced_numeric_slider,burnin,MCMC / optimization / prior control,"burnin controls computation rather than the ecological data itself. Quick values are for smoke tests; real inference needs longer runs, convergence checks and documented priors.","Check chains, burn-in/transient, thinning, seed, parallel settings and diagnostics; quick-test values are not publication settings.",Common mistake: reporting quick-test MCMC output as if it were a converged publication analysis.,"Recorded in used_config.yml, reproducible_script/ and diagnostics/session_info.txt; affects model objects and convergence tables.",Reviewer note: state whether settings are quick-test or inferential and report convergence diagnostics.
GJAM,gjam_censor_columns,textInput,censor columns,general workflow setting,censor columns modifies GJAM workflow behaviour. Record it because GUI choices should be recoverable from used_config.yml and reproducible scripts.,Check that this setting is recorded in used_config.yml and that its meaning is documented in the report.,Common mistake: changing this setting without preserving it in the reproducible configuration.,Recorded in configuration and shown in reports when relevant.,"GJAM: record the setting when it affects fitting, output or interpretation."
GJAM,gjam_censor_file,fileInput,censor.csv  - optional censoring intervals,input data / auxiliary file,censor.csv  - optional censoring intervals is an auxiliary input for GJAM. It must use the same site/species identifiers as the primary response and predictor files.,"Check dimensions, IDs, missing values, factor/numeric coercion and whether rows/columns match the response data before fitting.","Common mistake: uploading a table with an accidental ID column, mismatched row order or all-character numeric columns.",Copied to inputs/ and data/; summarized in diagnostics/data_check_messages.csv and standard/output_manifest.csv.,"GJAM: record the setting when it affects fitting, output or interpretation."
GJAM,gjam_censor_intervals,textInput,censor intervals,general workflow setting,censor intervals modifies GJAM workflow behaviour. Record it because GUI choices should be recoverable from used_config.yml and reproducible scripts.,Check that this setting is recorded in used_config.yml and that its meaning is documented in the report.,Common mistake: changing this setting without preserving it in the reproducible configuration.,Recorded in configuration and shown in reports when relevant.,"GJAM: record the setting when it affects fitting, output or interpretation."
GJAM,gjam_censor_values,textInput,censor values,general workflow setting,censor values modifies GJAM workflow behaviour. Record it because GUI choices should be recoverable from used_config.yml and reproducible scripts.,Check that this setting is recorded in used_config.yml and that its meaning is documented in the report.,Common mistake: changing this setting without preserving it in the reproducible configuration.,Recorded in configuration and shown in reports when relevant.,"GJAM: record the setting when it affects fitting, output or interpretation."
GJAM,gjam_check,actionButton,Check GJAM data,workflow action / reproducibility output,"Check GJAM data triggers checking, fitting, comparison or export. It should leave a clear status, diagnostics and real downloadable files rather than silent or empty placeholders.","Check that the action writes engine_status.json, standard tables, reports, scripts and a non-empty ZIP when applicable.","Common mistake: accepting Completed, empty ZIP or missing diagnostics as a successful run.","Controls workflow status, output folder creation, downloadable ZIPs and reports.","GJAM: record the setting when it affects fitting, output or interpretation."
GJAM,gjam_composition_reference,selectInput,composition reference rule,general workflow setting,composition reference rule modifies GJAM workflow behaviour. Record it because GUI choices should be recoverable from used_config.yml and reproducible scripts.,Check that this setting is recorded in used_config.yml and that its meaning is documented in the report.,Common mistake: changing this setting without preserving it in the reproducible configuration.,Recorded in configuration and shown in reports when relevant.,"GJAM: record the setting when it affects fitting, output or interpretation."
GJAM,gjam_do_conditional,checkboxInput,Run gjamConditionalParameters,workflow action / reproducibility output,"Run gjamConditionalParameters triggers checking, fitting, comparison or export. It should leave a clear status, diagnostics and real downloadable files rather than silent or empty placeholders.","Check that the action writes engine_status.json, standard tables, reports, scripts and a non-empty ZIP when applicable.","Common mistake: accepting Completed, empty ZIP or missing diagnostics as a successful run.","Controls workflow status, output folder creation, downloadable ZIPs and reports.","GJAM: record the setting when it affects fitting, output or interpretation."
GJAM,gjam_do_iie,checkboxInput,Run gjamIIE / gjamIIEplot,diagnostics / prediction / output selection,"Run gjamIIE / gjamIIEplot decides which fit, prediction, diagnostic or plotting artifacts are written. These outputs support review only when status files and standard tables are also present.","Check that the requested outputs are compatible with fitted status, response scale and available package functions.",Common mistake: comparing metrics produced on different response scales or validation folds.,"Controls diagnostics/, plots/, predictions/, results/, report/ and standard/*.csv artifacts.","GJAM: record the setting when it affects fitting, output or interpretation."
GJAM,gjam_do_ordination,checkboxInput,Run gjamOrdination,workflow action / reproducibility output,"Run gjamOrdination triggers checking, fitting, comparison or export. It should leave a clear status, diagnostics and real downloadable files rather than silent or empty placeholders.","Check that the action writes engine_status.json, standard tables, reports, scripts and a non-empty ZIP when applicable.","Common mistake: accepting Completed, empty ZIP or missing diagnostics as a successful run.","Controls workflow status, output folder creation, downloadable ZIPs and reports.","GJAM: record the setting when it affects fitting, output or interpretation."
GJAM,gjam_do_predict,checkboxInput,Run gjamPredict,workflow action / reproducibility output,"Run gjamPredict triggers checking, fitting, comparison or export. It should leave a clear status, diagnostics and real downloadable files rather than silent or empty placeholders.","Check that the action writes engine_status.json, standard tables, reports, scripts and a non-empty ZIP when applicable.","Common mistake: accepting Completed, empty ZIP or missing diagnostics as a successful run.","Controls workflow status, output folder creation, downloadable ZIPs and reports.","GJAM: record the setting when it affects fitting, output or interpretation."
